,,
,材料名称,型号
,光缆,6芯
,光缆,12芯
,光缆,24芯
,光缆,48芯
,光缆,64芯
,光缆,72芯
,光缆,96芯
,光缆,144芯
,光缆,288芯
,光缆,576芯
,纲绞线,7/2.6
,纲绞线,7/2.2
,镀锌铁线,φ1.5
,镀锌铁线,φ3.0
,镀锌铁线,φ4.0
,吊线抱箍,D134
,吊线抱箍,D164
,单槽夹板,三眼
,双槽夹板,三眼
,钢管卡  ,∮40
,电力保护套,
,一字铁,
,挂钩,φ25
,挂钩,φ35
,挂钩,φ45
,挂钩,φ55
,挂钩,φ65
,拉线抱箍,D164
,拉线抱箍,D134
,衬环,五股
,钢绞线卡子,φ8
,地锚杆,
,地锚铁柄,
,皮线,
,镀锌钢管,φ40×3000
,镀锌钢管,φ50×3000
,镀锌钢管,φ80×3000
,硅管,φ40/33mm
,波纹管,
,光缆接头盒,24芯
,光缆接头盒,48芯
,光缆接头盒,96芯
,光缆接头盒,144芯
,光缆接头盒,288芯
,熔纤盘,
,膨胀螺丝,φ60/100mm
,膨胀螺丝,φ60/120mm
,膨胀螺丝,φ60/150mm
,膨胀螺丝,φ60/180mm
,小吊牌,
,警示牌,
,光交箱,144芯
,光交箱,288芯
,光交箱,576芯
,光交箱,1152芯
,光缆分纤箱,24芯
,光缆分纤箱,48芯
,光分配箱,144芯
,楼道综合箱,
,圆头尾纤,3米
,圆头尾纤,10米
,圆头尾纤,15米
,圆头尾纤,30米
,方头尾纤,3米
,方头尾纤,10米
,方头尾纤,15米
,方头尾纤,30米
,圆转方尾纤,3米
,圆转方尾纤,10米
,圆转方尾纤,15米
,圆转方尾纤,30米
,盒式分光器,1：8
,盒式分光器,1：16
,盒式分光器,1：32
,插片式分光器,1：8
,插片式分光器,1：16
,插片式分光器,1：32
